MES,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,63.0,5.0,23.7,115.5,9.0,42.1,56.5,78.3,24.7,22.8
2,11.4,6.4,11.0,12.1,38.2,35.1,10.6,23.1,18.8,9.3
3,27.0,36.2,22.3,29.2,11.8,13.0,29.0,7.0,45.3,20.7
4,25.3,48.6,33.8,47.2,1.5,20.7,17.9,5.3,32.4,30.7
5,51.4,22.1,60.0,17.4,10.9,27.7,93.0,21.6,21.9,52.4
6,49.7,31.2,74.3,56.5,57.0,81.0,52.5,123.7,34.0,52.4
7,13.0,72.7,37.2,10.3,35.0,29.1,41.9,21.7,38.3,76.7
8,60.0,100.0,185.5,53.1,120.4,25.9,62.8,38.3,53.9,33.2
9,44.5,45.1,141.0,34.3,86.8,64.7,106.5,60.0,12.3,108.8
10,174.5,115.0,88.5,143.7,129.0,63.7,100.8,61.0,89.0,117.0
11,94.8,40.0,24.3,34.1,36.2,90.8,80.9,13.7,27.5,52.4
12,16.3,19.5,19.0,15.8,24.3,14.2,18.5,15.1,26.7,52.4
