MES,2016,2017,2018,2019,2020,2021,2022
1,39.0,44.0,41.0,41.0,29.5,37.0,40.0
2,42.0,44.0,42.0,42.0,40.55,39.0,42.0
3,43.0,41.0,43.0,48.0,48.0,39.0,49.0
4,49.0,42.0,46.0,48.0,39.0,39.0,39.0
5,41.0,48.0,45.0,49.0,45.0,48.0,45.0
6,48.0,44.0,35.0,47.0,40.0,44.0,41.22222222222222
7,44.0,43.0,40.0,40.0,40.0,39.0,31.0
8,35.0,43.0,39.0,45.0,45.0,31.0,45.0
9,40.0,48.0,41.0,38.0,38.0,44.0,38.0
10,44.0,44.0,42.0,38.0,42.0,42.0,42.0
11,40.0,44.0,44.0,34.0,40.55,44.0,41.22222222222222
12,44.0,43.0,43.0,34.0,39.0,38.0,41.22222222222222
