MES,2016,2017,2018,2019,2020,2021,2022
1,29.2,33.9,30.6,26.9,25.0,27.3,29.6
2,34.7,36.1,33.3,33.5,30.85,31.0,33.2
3,33.0,30.1,31.5,31.6,31.8,30.3,31.4
4,32.0,30.2,32.1,34.9,31.3,30.3,31.3
5,33.6,34.4,34.7,40.2,35.4,36.2,35.4
6,33.5,34.3,28.0,33.0,28.4,30.2,31.299999999999997
7,29.0,29.2,29.2,28.7,28.8,28.5,26.9
8,28.5,27.5,28.6,36.3,37.4,27.8,36.3
9,27.1,32.4,30.5,28.0,29.0,30.1,28.4
10,31.4,29.9,29.6,29.0,30.4,30.4,29.2
11,30.0,31.1,32.1,29.0,30.85,30.6,31.299999999999997
12,30.4,33.8,33.1,30.0,31.0,30.5,31.299999999999997
