MES,2016,2017,2018,2019,2020,2021,2022
1,0.0,0.0,0.0,0.0,10.5,1.5,0.0
2,0.0,0.0,5.0,5.0,10.5,1.5,0.0
3,0.0,0.0,0.0,0.0,10.5,1.5,0.0
4,0.0,1.0,50.0,5.0,10.5,1.5,0.8571428571428571
5,3.0,10.0,100.0,0.0,10.5,0.0,0.8571428571428571
6,0.0,0.0,0.0,5.0,10.5,0.0,0.8571428571428571
7,1.0,5.0,0.0,0.0,10.5,0.0,1.0
8,0.0,5.0,0.0,0.0,10.5,2.0,0.0
9,1.0,35.0,5.0,0.0,10.5,5.0,0.0
10,5.0,7.0,5.0,0.0,10.5,5.0,5.0
11,1.5,0.0,0.0,0.0,10.5,0.0,0.8571428571428571
12,10.0,0.0,0.0,0.0,10.5,0.0,0.8571428571428571
