MES,2015,2016,2017,2018,2019,2020,2021
1,7.0,9.0,15.0,16.0,13.0,17.0,16.0
2,8.0,9.5,17.0,15.0,18.0,15.0,14.0
3,15.0,15.5,17.0,18.0,15.5,15.0,16.0
4,19.0,17.0,19.0,20.0,18.0,23.0,18.0
5,20.0,17.0,19.0,21.0,20.0,23.0,23.0
6,20.0,20.0,21.0,21.0,23.0,22.0,22.0
7,19.0,0.0,21.0,21.0,22.0,23.0,22.0
8,20.0,20.0,21.0,21.0,23.0,23.0,22.0
9,20.0,20.0,19.0,21.0,22.0,22.0,21.0
10,18.0,20.0,17.0,20.0,19.0,20.0,19.0
11,19.0,18.0,0.0,13.0,19.0,18.0,18.0
12,16.0,19.0,12.0,16.0,17.0,15.0,14.0
