MES,2015,2016,2017,2018,2019,2020,2021
1,17.8,20.5,24.5,21.4,21.9,24.4,23.1
2,20.3,21.0,25.6,24.8,26.4,24.4,24.0
3,23.8,25.9,25.7,26.6,26.1,27.7,26.6
4,28.8,28.6,27.2,27.6,28.2,30.0,29.2
5,28.6,30.6,28.6,28.8,32.5,29.6,30.0
6,26.8,28.1,28.1,27.8,30.5,27.6,28.8
7,27.4,27.2,27.3,27.2,29.4,29.2,27.9
8,27.8,27.3,27.5,26.6,29.3,28.1,27.9
9,27.6,27.2,26.8,27.0,28.6,28.1,28.0
10,26.0,26.2,25.2,26.2,27.6,27.2,27.6
11,25.2,25.0,23.6,24.4,25.3,25.0,25.0
12,22.8,25.2,22.3,24.0,25.4,22.0,25.5
