MES,2015,2016,2017,2018,2019,2020,2021
1,30.0,30.0,34.0,30.0,30.0,33.0,34.0
2,33.0,34.0,34.0,34.0,38.0,36.0,34.0
3,36.0,37.0,35.0,36.0,38.0,40.0,38.0
4,41.0,39.0,37.0,36.0,40.0,40.0,41.0
5,38.0,41.0,38.0,38.0,44.0,40.0,41.0
6,34.0,39.0,37.0,36.0,41.0,37.0,38.0
7,35.0,36.0,35.0,36.0,37.0,37.0,35.0
8,36.0,35.0,35.0,34.0,39.0,35.0,34.0
9,36.0,35.0,34.5,34.0,37.0,38.0,34.0
10,34.5,35.0,34.0,34.0,35.0,36.0,35.0
11,33.5,34.0,33.0,33.0,34.0,33.0,33.0
12,30.0,34.0,32.0,37.0,34.0,30.0,35.0
