MES,2015,2016,2017,2018,2019,2020,2021
1,24.5,26.1,29.9,25.2,27.0,28.9,26.9
2,25.6,26.4,31.1,30.5,31.8,29.4,29.1
3,28.4,32.1,31.7,32.5,31.6,33.8,32.3
4,34.0,34.8,33.1,33.6,34.6,36.2,35.6
5,33.8,37.5,34.5,34.7,39.6,35.2,35.6
6,32.1,34.3,33.4,32.9,36.0,32.1,33.9
7,33.2,33.3,32.6,32.4,34.6,34.7,32.5
8,33.5,32.7,32.9,31.3,35.0,32.9,32.4
9,32.9,32.5,31.9,32.0,33.7,32.9,32.8
10,31.3,31.1,29.4,30.7,32.1,32.2,32.0
11,29.3,29.8,28.3,28.7,29.5,29.1,29.9
12,26.8,29.6,27.2,28.4,29.9,26.9,30.6
