MES,2015,2016,2017,2018,2019,2020,2021
1,11.1,14.9,19.1,17.6,16.8,19.9,19.3
2,15.0,15.7,20.2,19.1,20.9,19.3,18.8
3,19.1,19.6,19.7,20.8,20.7,21.6,20.9
4,23.5,22.4,21.4,21.6,21.8,23.8,22.9
5,23.4,23.6,22.8,22.8,25.3,24.0,24.4
6,21.5,21.9,22.8,22.7,25.0,23.2,23.7
7,21.6,21.1,22.0,22.0,24.1,23.7,23.2
8,22.0,21.9,22.1,21.9,23.6,23.3,23.3
9,22.4,21.9,21.7,21.9,23.4,23.3,23.3
10,20.7,21.4,21.0,21.8,23.2,22.3,23.2
11,21.1,20.2,18.8,20.0,21.1,20.8,20.1
12,18.8,20.8,17.4,19.6,21.0,17.2,20.3
