MES,2015,2016,2017,2018,2019,2020,2021
1,0.0,1.0,0.01,5.0,0.01,12.0,12.0
2,2.0,2.5,3.0,5.0,1.0,13.0,3.0
3,0.5,3.0,2.0,0.0,1.0,2.0,3.5
4,1.5,0.0,0.01,4.0,0.0,0.01,3.0
5,34.0,1.0,22.0,4.0,12.0,18.0,17.0
6,32.0,36.8,55.4,11.0,14.0,26.0,161.0
7,68.5,36.5,16.9,36.0,16.0,18.0,8.0
8,44.0,108.8,17.5,45.0,21.0,25.0,56.0
9,36.5,36.4,34.6,7.1,25.0,58.0,66.0
10,104.8,42.0,32.0,19.6,145.0,56.0,58.0
11,46.0,14.8,15.0,15.0,255.0,66.0,9.0
12,6.5,0.01,4.0,78.0,0.01,0.0,0.0
