MES,2015,2016,2019,2020,2021,2024,2025
1,17.9,19.5,20.1,19.9,20.1,22.7,16.2
2,17.3,19.3,21.2,20.4,20.9,23.3,18.5
3,19.0,21.3,21.0,21.9,22.4,21.5,18.5
4,23.7,23.0,22.2,25.4,24.1,16.6,19.3
5,24.9,26.4,25.6,26.2,25.5,16.7,22.9
6,25.3,26.2,25.9,26.7,25.3,20.16,19.080000000000002
7,24.5,25.1,25.3,27.1,25.9,20.16,19.080000000000002
8,25.4,24.7,25.2,27.1,25.0,20.16,19.080000000000002
9,25.0,24.9,25.3,26.2,24.8,20.16,19.080000000000002
10,23.5,24.2,24.3,25.2,24.1,20.16,19.080000000000002
11,23.3,21.5,22.5,23.5,22.8,20.16,19.080000000000002
12,21.5,20.8,20.4,21.0,21.9,20.16,19.080000000000002
