MES,2015,2016,2019,2020,2021,2024,2025
1,24.7,26.2,25.7,26.4,26.5,32.0,25.5
2,24.2,26.0,27.3,26.0,27.1,31.6,29.4
3,26.1,30.0,27.5,28.6,29.5,29.1,32.5
4,33.4,31.6,29.6,33.3,31.6,27.1,33.3
5,33.5,35.6,33.6,34.3,32.8,27.2,35.6
6,32.2,33.8,33.1,33.6,32.2,29.4,31.259999999999998
7,32.8,33.2,31.7,34.1,33.2,29.4,31.259999999999998
8,33.6,32.8,32.9,32.8,32.4,29.4,31.259999999999998
9,32.6,32.8,32.4,32.1,31.4,29.4,31.259999999999998
10,31.8,31.6,30.3,30.8,30.8,29.4,31.259999999999998
11,29.9,30.3,28.0,29.7,29.7,29.4,31.259999999999998
12,29.3,30.2,27.3,28.1,29.6,29.4,31.259999999999998
