Cultivo,Temp. Opt. Mín. (°C),Temp. Opt. Máx. (°C),Temp. Recomendada (°C)_valor_mínimo,Temp. Recomendada (°C)_valor_máximo,Lluvia Óptima (mm)_valor_mínimo,Lluvia Óptima (mm)_valor_máximo,Humedad Ambiental (%)_valor_mínimo,Humedad Ambiental (%)_valor_máximo,Humedad Suelo (%)_valor_mínimo,Humedad Suelo (%)_valor_máximo,Temp. Recomendada (°C)_valor_promedio,Lluvia Óptima (mm)_valor_promedio,Humedad Ambiental (%)_valor_promedio,Humedad Suelo (%)_valor_promedio
Agave,18,32,25,28,500,700,45,60,40,50,26.5,600.0,52.5,45.0
Aguacate,12,28,18,22,800,1000,65,75,60,70,20.0,900.0,70.0,65.0
Ajo,15,28,20,25,100,200,40,50,40,50,22.5,150.0,45.0,45.0
Ajonjolí,18,30,22,26,200,300,40,50,40,50,24.0,250.0,45.0,45.0
Alfalfa,8,26,13,20,300,400,45,60,50,65,16.5,350.0,52.5,57.5
Amaranto,15,30,20,26,200,400,40,55,40,55,23.0,300.0,47.5,47.5
Arroz palay,16,30,20,25,600,800,70,80,70,85,22.5,700.0,75.0,77.5
Avena forrajera en verde,6,23,11,16,200,300,45,60,50,65,13.5,250.0,52.5,57.5
Avena grano,6,23,11,16,150,250,40,55,45,60,13.5,200.0,47.5,52.5
Berenjena,18,30,22,26,400,600,60,70,60,70,24.0,500.0,65.0,65.0
Brócoli,10,24,15,20,400,600,65,75,65,75,17.5,500.0,70.0,70.0
Cacao,18,30,22,24,1000,1200,70,80,65,75,23.0,1100.0,75.0,70.0
Café cereza,16,26,19,23,500,700,70,80,65,75,21.0,600.0,75.0,70.0
Calabacita,16,30,20,26,400,600,60,70,60,70,23.0,500.0,65.0,65.0
Caña de azúcar,15,30,20,25,500,700,60,70,65,75,22.5,600.0,65.0,70.0
Cebada grano,6,24,11,18,150,250,40,55,45,60,14.5,200.0,47.5,52.5
Cebolla,10,28,16,22,200,350,40,55,50,65,19.0,275.0,47.5,57.5
Chile verde,18,32,22,28,400,600,60,70,60,70,25.0,500.0,65.0,65.0
Copra,20,32,24,28,900,1200,70,80,70,80,26.0,1050.0,75.0,75.0
Crisantemo,12,26,16,22,300,400,55,65,55,65,19.0,350.0,60.0,60.0
Cártamo,10,28,15,22,200,350,40,55,45,60,18.5,275.0,47.5,52.5
Durazno,12,30,18,25,400,600,55,65,55,70,21.5,500.0,60.0,62.5
Elote,14,32,20,26,500,700,55,65,55,70,23.0,600.0,60.0,62.5
Espárrago,10,26,16,22,400,600,55,65,55,70,19.0,500.0,60.0,62.5
Frambuesa,12,28,18,24,400,600,60,70,60,75,21.0,500.0,65.0,67.5
