MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,5.1,7.4,4.7,6.3,8.1,8.1,6.6,5.3,6.5,7.7
2,6.8,9.8,9.7,9.2,8.3,6.5,5.6,6.7,6.5,9.4
3,10.4,10.2,10.2,8.8,10.4,9.5,7.4,10.1,11.9,8.55
4,13.1,12.2,12.1,10.4,14.5,11.7,13.9,12.3,11.9,8.55
5,14.9,13.9,13.8,15.8,14.7,14.3,14.7,13.7,17.2,8.55
6,14.8,14.6,15.3,16.2,15.0,14.8,14.2,15.4,16.2,8.55
7,15.2,14.5,15.0,15.2,16.1,15.2,15.8,15.4,15.4,8.55
8,15.0,15.3,14.9,16.0,15.1,15.1,15.4,14.9,15.6,8.55
9,15.0,14.5,14.7,15.0,14.2,15.0,14.4,15.1,16.1,8.55
10,12.8,12.7,13.2,13.2,12.1,13.4,10.9,13.2,13.3,8.55
11,9.9,9.5,8.5,7.3,9.9,9.7,9.3,8.6,12.6,8.55
12,9.5,6.1,6.8,6.8,5.9,8.2,6.8,7.3,10.7,8.55
