MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,18.4,21.1,16.9,19.0,21.0,19.7,19.1,21.5,20.0,18.2
2,20.3,23.1,22.2,21.6,20.8,19.6,18.9,22.0,22.4,20.6
3,23.2,23.6,23.9,20.6,24.3,23.5,21.6,25.1,25.5,19.4
4,26.2,26.1,24.7,24.5,27.8,25.2,27.0,25.2,26.2,19.4
5,28.0,27.4,27.0,29.0,27.7,27.5,29.1,27.3,30.8,19.4
6,27.9,28.0,28.2,29.0,28.1,27.3,28.4,29.4,29.9,19.4
7,28.5,27.0,28.4,28.5,29.4,28.3,28.5,29.2,29.1,19.4
8,27.7,28.5,28.2,30.0,28.3,28.4,28.6,29.0,27.2,19.4
9,27.7,27.1,28.3,28.7,27.1,28.0,27.8,30.0,27.4,19.4
10,25.9,25.5,25.2,25.8,26.2,26.4,25.0,26.5,25.0,19.4
11,22.2,23.5,21.6,21.0,24.1,23.0,22.1,22.7,24.0,19.4
12,21.8,19.2,20.4,21.1,19.2,22.3,22.6,21.1,21.7,19.4
