MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,6.5,6.0,2.0,7.5,7.0,7.0,5.0,2.0,3.0,1.0
2,7.0,9.5,8.5,7.0,6.0,4.0,7.0,6.0,6.0,4.0
3,13.5,14.0,6.0,10.0,10.0,11.0,8.0,6.0,9.0,7.0
4,13.0,15.5,11.5,15.0,15.5,10.0,13.0,6.0,10.0,4.0
5,15.0,15.0,16.0,14.0,16.0,19.5,13.0,6.0,15.0,4.0
6,20.0,20.5,20.0,18.0,18.5,20.0,13.0,6.0,21.0,4.0
7,22.0,18.0,20.0,20.5,18.0,17.0,20.0,6.0,19.0,4.0
8,21.0,20.0,21.0,20.0,20.0,19.0,19.0,6.0,16.0,4.0
9,21.0,18.0,19.0,19.0,17.0,18.0,19.0,6.0,18.0,4.0
10,16.5,11.0,15.0,17.0,12.0,14.0,13.0,10.0,15.0,4.0
11,14.0,8.0,7.0,13.0,14.0,11.0,13.0,6.0,12.0,4.0
12,9.0,3.0,5.0,12.0,14.0,11.0,13.0,6.0,6.0,4.0
