MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,11.5,14.7,9.8,11.5,14.3,13.7,11.8,14.9,11.8,9.7
2,12.7,16.1,16.0,12.4,14.2,12.2,12.2,16.85,12.3,12.5
3,18.0,17.5,17.0,16.0,17.6,16.0,13.8,16.85,16.0,15.4
4,20.2,19.1,18.1,21.5,21.3,18.6,21.8,16.85,17.4,12.533333333333333
5,23.1,21.9,20.5,22.3,20.7,21.6,21.8,16.85,25.3,12.533333333333333
6,22.3,22.5,21.8,22.0,21.9,22.1,20.7,16.85,27.3,12.533333333333333
7,23.1,21.1,21.6,22.2,22.2,21.6,17.0,16.85,21.2,12.533333333333333
8,22.9,21.7,22.4,22.3,21.5,21.9,6.0,16.85,21.0,12.533333333333333
9,22.2,20.9,22.3,22.0,21.0,21.7,15.6375,16.85,21.1,12.533333333333333
10,20.3,18.4,20.3,20.8,19.1,19.6,15.6375,18.8,17.4,12.533333333333333
11,17.8,15.9,15.1,18.9,19.38,15.8,15.6375,16.85,16.5,12.533333333333333
12,16.2,14.0,12.8,15.8,19.38,15.3,15.6375,16.85,12.8,12.533333333333333
