MES,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,34.25,32.0,27.0,31.0,34.5,31.0,39.5,40.2,42.0
2,34.25,33.5,38.5,33.5,33.5,34.5,39.166666666666664,40.2,42.0
3,34.25,35.0,35.5,38.5,39.0,38.5,38.5,38.5,42.0
4,34.25,39.5,41.0,40.0,42.0,41.5,39.5,41.5,42.0
5,34.25,34.77272727272727,42.0,41.0,42.5,43.5,39.166666666666664,46.5,42.0
6,34.25,36.0,41.0,42.0,39.0,41.5,39.166666666666664,40.2,42.0
7,34.25,36.0,39.0,40.0,38.0,39.5,39.166666666666664,38.0,42.0
8,35.0,36.5,42.0,39.0,38.0,38.0,39.166666666666664,36.5,42.0
9,33.5,38.5,39.0,39.0,35.5,35.0,39.166666666666664,40.2,42.0
10,34.25,34.0,38.0,36.0,36.0,35.0,39.166666666666664,40.2,42.0
11,34.25,30.5,32.0,33.0,31.5,33.0,39.166666666666664,40.2,42.0
12,34.25,31.0,31.5,32.5,36.5,30.5,39.166666666666664,40.2,42.0
