MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,21.65,14.9,12.0,15.0,20.872727272727275,14.6,12.1,15.7,20.125,13.8
2,21.65,17.3,18.4,16.8,15.8,14.0,13.0,14.8,20.125,16.6
3,18.1,19.3,19.4,17.5,20.0,17.5,14.6,18.9,20.125,13.940000000000001
4,21.1,20.7,20.0,17.8,23.0,20.2,20.5,20.1,20.125,19.6
5,23.9,19.90909090909091,23.2,24.9,23.3,23.7,25.2,22.2,20.125,16.7
6,23.6,24.8,24.0,25.5,23.8,24.2,23.8,24.7,20.125,3.0
7,24.1,23.9,23.7,19.583333333333332,24.6,24.0,23.3,23.5,20.125,13.940000000000001
8,24.4,24.5,23.8,19.583333333333332,24.1,23.1,23.0,24.3,20.125,13.940000000000001
9,23.7,23.4,23.8,19.583333333333332,23.3,23.3,19.7,23.7,24.4,13.940000000000001
10,21.8,20.3,21.1,19.583333333333332,19.6,21.6,18.2,21.5,19.8,13.940000000000001
11,18.8,17.6,16.5,19.583333333333332,18.6,16.3,14.8,17.0,19.3,13.940000000000001
12,17.0,12.3,14.0,19.583333333333332,13.5,15.9,18.9,16.2,17.0,13.940000000000001
