MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,32.870000000000005,28.0,22.7,25.3,32.57272727272727,26.9,25.5,29.4,31.3,23.6
2,32.870000000000005,31.5,29.9,29.2,26.3,27.6,25.2,28.7,31.3,29.3
3,32.0,32.6,31.3,28.4,32.2,31.5,31.2,33.7,31.3,29.833333333333332
4,34.1,36.6,32.7,35.9,36.4,33.8,35.6,32.4,31.3,36.6
5,36.5,32.28181818181818,36.2,39.0,35.1,35.8,39.7,35.1,31.3,29.833333333333332
6,34.9,37.9,36.4,37.1,32.9,33.9,36.8,39.6,31.3,29.833333333333332
7,35.5,34.0,37.2,32.48333333333333,38.3,33.8,39.2,36.9,31.3,29.833333333333332
8,34.6,35.5,36.3,32.48333333333333,35.7,34.0,33.0,38.4,31.3,29.833333333333332
9,34.0,32.9,36.3,32.48333333333333,32.3,31.7,30.6,39.9,33.8,29.833333333333332
10,32.2,30.1,30.4,32.48333333333333,32.5,31.0,27.8,33.2,32.7,29.833333333333332
11,27.8,30.2,26.3,32.48333333333333,29.9,29.1,27.5,26.3,31.5,29.833333333333332
12,27.1,25.8,26.5,32.48333333333333,26.7,30.4,32.0,24.5,27.2,29.833333333333332
