MES,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,26.4,29.8,24.3,27.0,27.9,27.2,26.8,29.1,32.60909090909092,26.7
2,26.6,30.6,26.0,30.2,28.5,29.0,26.6,32.65555555555556,30.1,28.6
3,31.6,30.9,30.2,29.4,31.3,31.0,29.6,32.1,32.2,32.1
4,34.2,33.9,32.0,32.6,35.6,33.8,33.0,33.5,34.6,32.1
5,34.7,34.9,33.2,37.1,34.3,35.1,34.7,33.8,39.7,36.1
6,34.1,33.3,34.3,34.4,32.5,33.5,31.6,34.6,35.2,31.119999999999997
7,33.0,31.9,30.0,32.4,33.7,33.0,32.2,32.6,32.3,31.119999999999997
8,33.7,33.4,30.0,33.5,33.2,32.8,32.6,33.1,32.5,31.119999999999997
9,33.3,32.9,30.0,32.7,32.5,32.9,31.1,33.1,33.3,31.119999999999997
10,31.8,31.7,30.0,32.2,31.1,31.9,30.2,32.0,30.1,31.119999999999997
11,29.7,29.2,30.0,28.7,28.9,28.8,29.6,32.65555555555556,30.6,31.119999999999997
12,30.0,27.1,30.0,28.2,26.7,29.2,28.9,32.65555555555556,28.1,31.119999999999997
