MES,2015,2016,2017,2018,2019,2020,2024,2025
1,33.0,35.0,36.5,33.0,30.0,32.0,32.0,33.0
2,33.0,35.0,38.0,39.0,35.0,35.0,32.0,39.0
3,38.0,44.0,39.5,39.5,38.0,40.0,32.0,40.0
4,47.0,46.0,41.5,42.0,42.0,40.0,32.0,40.0
5,43.0,42.5,43.0,42.0,44.0,40.0,32.0,38.0
6,41.0,43.0,42.0,41.0,41.0,37.0,32.0,38.0
7,42.0,40.0,39.0,41.0,39.0,39.0,32.0,38.0
8,43.5,39.5,41.0,40.0,39.0,38.0,32.0,38.0
9,41.0,39.0,41.0,40.0,38.0,37.0,32.0,38.0
10,40.0,38.5,38.0,40.0,36.0,34.0,32.0,38.0
11,37.0,38.0,38.0,36.0,38.0,32.0,32.0,38.0
12,37.0,36.5,34.5,34.0,31.0,30.0,32.0,38.0
