MES,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,10.1,9.9,10.5,11.7,11.7,11.0,11.5,12.2,11.7
2,11.3,10.7,12.7,12.6,11.1,10.9,11.6,11.5,13.5
3,10.799999999999999,11.666666666666666,12.8,13.5,12.6,12.0,14.1,14.7,13.7
4,10.799999999999999,14.4,13.8,17.1,15.4,15.5,15.2,15.8,13.9
5,10.799999999999999,11.666666666666666,17.4,14.181818181818182,16.1,16.8,15.8,19.4,16.7
6,10.799999999999999,11.666666666666666,16.6,16.3,16.5,15.5,17.4,17.7,13.9
7,10.799999999999999,11.666666666666666,15.0,16.0,15.6,15.5,15.9,16.3,13.9
8,10.799999999999999,11.666666666666666,15.4,15.9,15.7,15.8,16.2,15.8,13.9
9,10.799999999999999,11.666666666666666,15.7,16.5,16.2,15.6,15.2,17.0,13.9
10,10.799999999999999,11.666666666666666,15.8,13.5,15.2,15.0,15.5,15.0,13.9
11,11.0,11.666666666666666,13.5,12.3,11.3,13.7,13.5,12.7,13.9
12,10.799999999999999,11.666666666666666,11.3,10.6,11.9,11.8,12.2,12.1,13.9
