MES,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,31.0,26.0,26.5,27.1,30.8,30.0,30.4,31.0,30.6
2,31.0,29.2,34.5,29.6,31.7,29.2,31.5,31.6,31.3
3,31.0,29.299999999999997,31.5,33.5,33.7,34.5,35.6,34.8,34.9
4,31.0,31.4,32.6,36.4,34.1,34.1,32.0,34.8,34.6
5,31.0,29.299999999999997,33.4,30.69090909090909,34.4,35.4,32.7,38.8,35.6
6,31.0,30.6,31.7,32.4,30.4,30.6,35.2,37.6,33.4
7,31.0,29.299999999999997,29.8,31.5,28.9,29.9,30.6,31.8,33.4
8,31.0,29.299999999999997,31.0,30.3,29.6,30.0,29.8,28.8,33.4
9,31.0,29.299999999999997,29.6,31.4,28.5,27.5,29.5,28.8,33.4
10,31.0,29.299999999999997,29.3,28.8,32.0,29.0,31.3,27.8,33.4
11,31.0,29.299999999999997,28.5,30.0,25.2,28.2,32.0,30.5,33.4
12,31.0,29.299999999999997,30.0,26.6,30.6,29.6,30.4,28.0,33.4
