MES,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,21.0,6.8,31.8,37.5,82.1,28.6,15.7,8.4,14.92
2,3.8,3.9,11.8,4.6,3.7,9.8,19.7,2.2,16.0
3,36.1,55.9,24.0,41.7,0.0,3.0,1.2,4.9,4.8
4,11.5,37.8,104.0,0.0,47.5,20.7,41.7,69.0,30.0
5,31.4,84.8,10.6,5.8,232.8,75.4,0.0,164.3,0.0
6,132.6,52.91,95.3,44.3,78.3,188.8,223.7,48.2,279.0
7,66.8,201.0,90.3,56.4,31.8,115.8,7.1,80.6,345.1
8,164.8,77.8,65.0,2.3,155.5,189.0,17.9,34.0,85.16545454545454
9,106.0,266.8,48.2,93.7,87.5,84.1,223.7,1.2,116.9
10,138.4,123.0,97.4,89.6,23.9,72.9,32.4,96.1,68.8
11,88.4,12.2,32.4,27.3,47.1,32.2,111.3,59.9,0.3
12,55.02,1.0,16.3,32.2,0.0,5.6,12.7,64.2,61.0
