MES,2018,2019,2020,2021,2022,2023,2024,2025
1,18.1,19.0,21.4,20.0,17.6,24.0,24.580000000000002,18.0
2,22.5,23.1,21.7,20.5,24.6,25.6,24.580000000000002,21.5
3,24.9,22.4,26.7,27.2,27.6,25.4,24.580000000000002,26.3
4,27.0,26.5,29.4,26.7,28.9,24.5,24.580000000000002,21.933333333333334
5,25.9,30.5,29.3,27.3,31.0,26.9,24.580000000000002,21.933333333333334
6,28.0,29.8,28.2,25.0,27.0,30.5,24.580000000000002,21.933333333333334
7,28.8,28.8,30.2,25.7,27.1,28.0,25.5,21.933333333333334
8,28.5,30.4,26.4,24.6,26.0,27.6,24.580000000000002,21.933333333333334
9,29.4,29.3,27.4,25.3,23.6,29.1,27.0,21.933333333333334
10,24.5,28.0,25.8,26.7,22.9,22.5,24.7,21.933333333333334
11,20.1,20.1,24.9,25.2,23.4,21.6,24.0,21.933333333333334
12,21.9,21.0,18.1,24.6,20.6,17.0,21.7,21.933333333333334
